11111111111	abandon
11111111112	ability
11111111121	able
11111111122	about
11111111211	above
11111111212	absent
11111111221	absorb
11111111222	abstract
11111112111	absurd
11111112112	abuse
11111112121	access
11111112122	accident
11111112211	account
11111112212	accuse
11111112221	achieve
11111112222	acid
11111121111	acoustic
11111121112	acquire
11111121121	across
11111121122	act
11111121211	action
11111121212	actor
11111121221	actress
11111121222	actual
11111122111	adapt
11111122112	add
11111122121	addict
11111122122	address
11111122211	adjust
11111122212	admit
11111122221	adult
11111122222	advance
11111211111	advice
11111211112	aerobic
11111211121	affair
11111211122	afford
11111211211	afraid
11111211212	again
11111211221	age
11111211222	agent
11111212111	agree
11111212112	ahead
11111212121	aim
11111212122	air
11111212211	airport
11111212212	aisle
11111212221	alarm
11111212222	album
11111221111	alcohol
11111221112	alert
11111221121	alien
11111221122	all
11111221211	alley
11111221212	allow
11111221221	almost
11111221222	alone
11111222111	alpha
11111222112	already
11111222121	also
11111222122	alter
11111222211	always
11111222212	amateur
11111222221	amazing
11111222222	among
11112111111	amount
11112111112	amused
11112111121	analyst
11112111122	anchor
11112111211	ancient
11112111212	anger
11112111221	angle
11112111222	angry
11112112111	animal
11112112112	ankle
11112112121	announce
11112112122	annual
11112112211	another
11112112212	answer
11112112221	antenna
11112112222	antique
11112121111	anxiety
11112121112	any
11112121121	apart
11112121122	apology
11112121211	appear
11112121212	apple
11112121221	approve
11112121222	april
11112122111	arch
11112122112	arctic
11112122121	area
11112122122	arena
11112122211	argue
11112122212	arm
11112122221	armed
11112122222	armor
11112211111	army
11112211112	around
11112211121	arrange
11112211122	arrest
11112211211	arrive
11112211212	arrow
11112211221	art
11112211222	artefact
11112212111	artist
11112212112	artwork
11112212121	ask
11112212122	aspect
11112212211	assault
11112212212	asset
11112212221	assist
11112212222	assume
11112221111	asthma
11112221112	athlete
11112221121	atom
11112221122	attack
11112221211	attend
11112221212	attitude
11112221221	attract
11112221222	auction
11112222111	audit
11112222112	august
11112222121	aunt
11112222122	author
11112222211	auto
11112222212	autumn
11112222221	average
11112222222	avocado
11121111111	avoid
11121111112	awake
11121111121	aware
11121111122	away
11121111211	awesome
11121111212	awful
11121111221	awkward
11121111222	axis
11121112111	baby
11121112112	bachelor
11121112121	bacon
11121112122	badge
11121112211	bag
11121112212	balance
11121112221	balcony
11121112222	ball
11121121111	bamboo
11121121112	banana
11121121121	banner
11121121122	bar
11121121211	barely
11121121212	bargain
11121121221	barrel
11121121222	base
11121122111	basic
11121122112	basket
11121122121	battle
11121122122	beach
11121122211	bean
11121122212	beauty
11121122221	because
11121122222	become
11121211111	beef
11121211112	before
11121211121	begin
11121211122	behave
11121211211	behind
11121211212	believe
11121211221	below
11121211222	belt
11121212111	bench
11121212112	benefit
11121212121	best
11121212122	betray
11121212211	better
11121212212	between
11121212221	beyond
11121212222	bicycle
11121221111	bid
11121221112	bike
11121221121	bind
11121221122	biology
11121221211	bird
11121221212	birth
11121221221	bitter
11121221222	black
11121222111	blade
11121222112	blame
11121222121	blanket
11121222122	blast
11121222211	bleak
11121222212	bless
11121222221	blind
11121222222	blood
11122111111	blossom
11122111112	blouse
11122111121	blue
11122111122	blur
11122111211	blush
11122111212	board
11122111221	boat
11122111222	body
11122112111	boil
11122112112	bomb
11122112121	bone
11122112122	bonus
11122112211	book
11122112212	boost
11122112221	border
11122112222	boring
11122121111	borrow
11122121112	boss
11122121121	bottom
11122121122	bounce
11122121211	box
11122121212	boy
11122121221	bracket
11122121222	brain
11122122111	brand
11122122112	brass
11122122121	brave
11122122122	bread
11122122211	breeze
11122122212	brick
11122122221	bridge
